,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,lat,lon,Coordinates,nearest_restaurants,nearest_shuttle_stop
86,2020-02-07 18:31,(Regent Square - East Busway - Frick Park),40.442750;-79.888608,"Classic Railroad Style Apartment, Beautiful Details, Dogs Ok, Aug 1st",1.0,750.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-classic-railroad-style/7068131462.html,885,5573.0,1474.0,281.0,12550.0,1711.0,519.0,40.44275,-79.88860799999999,POINT (191111358.4480959 -19787786.93498436),"[(""Nancy's Revival"", 9.237533389969249, 4.5), (""Applebee's Grill + Bar"", 11.08073733372982, 3.0), ('Soul Food Connection', 11.771806571505545, 4.5), ('The Dream BBQ', 11.987665257018122, 4.5), ('GoodFellas Restaurant & Tavern', 14.445762730213701, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 96.70790565192573)"
88,2020-02-07 18:27,(Shadyside / Shady Ave @ Ellsworth Ave),40.458826;-79.922415,★Heat Included!--Shopping Nearby--AC--Hdwd Floors--Available June 1★,1.0,485.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-shopping/7071098125.html,860,4814.0,1204.0,158.0,8240.0,1222.0,158.0,40.458826,-79.922415,POINT (191533001.2821064 -19851154.05711737),"[('Choolaah', 4.133468649952092, 4.0), ('Two Sisters', 6.540121507745125, 4.5), ('Mola', 7.081935541250612, 4.0), ('Paris 66', 7.167321250337017, 3.5), (""Kelly's Bar & Lounge"", 7.999312687063431, 3.5)]","('Fifth Avenu at Maryland Avenue', 'BS', 5.968641101485157)"
89,2020-02-07 18:25,(Squirrel Hill / Hobart St @ Wightman St),40.432094;-79.928144,★Heat Included!--Hdwd Floors--Schenley Park--AC--Available June 1★,1.0,874.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-included-hdwd-floors/7071142743.html,1200,2599.0,1019.0,717.0,8459.0,2348.0,717.0,40.432094,-79.92814399999999,POINT (191589713.3952973 -19925181.41733239),"[('Pigeon Bagels', 4.4358506837964295, 4.0), ('Hamsah', 8.13227426675035, 5.0), ('Babylon Cuisine', 8.13227426675035, 4.5), ('Con Alma', 17.23459043665417, 4.5), ('Senyai Thai Kitchen', 17.372177409595874, 4.5)]","('Alger Street @ Winterburn Avenue', 'PTC', 6.5574525536418395)"
90,2020-02-07 18:24,(Shadyside / S. Aiken Ave @ Claybourne St),40.455160;-79.937993,★ALL Utilities Included!--Available August 1--Pet Friendly--AC★,1.0,605.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7071077995.html,965,2487.0,1096.0,299.0,7219.0,1618.0,233.0,40.45516,-79.937993,POINT (191722441.1417232 -19904277.75399737),"[('Selamis Turkish Kebab House', 6.126432105056415, 4.0), ('Nak Won Garden', 6.526606847597521, 3.5), ('BFG Caf√©', 6.658924383192038, 4.0), ('Spork Pit', 8.617923267251983, 3.5), ('Friendship Perk and Brew', 11.340555062621965, 4.5)]","('Ellsworth Avenue and South Negley Avenue', 'AB', 10.993717723711635)"
91,2020-02-07 18:23,(Regent Square - East Busway - Frick Park),40.438815;-79.886978,"All Utilities Included, Studio, Close to Bus, Shops & Park, Aug 1",,466.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7068143579.html,777,5754.0,1561.0,306.0,12840.0,1932.0,315.0,40.438815000000005,-79.886978,POINT (191089485.0904922 -19791508.46778614),"[(""Nancy's Revival"", 3.736074616229871, 4.5), ('Soul Food Connection', 6.101070188554105, 4.5), ('GoodFellas Restaurant & Tavern', 11.0249711928099, 4.5), (""Applebee's Grill + Bar"", 11.153340426507954, 3.0), ('Thai Terrace', 12.335639244889808, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 103.06193930949235)"
92,2020-02-07 18:22,(Squirrel Hill / Murray Ave @ Forward Ave),40.428754;-79.924078,★Available June 1--Shopping Nearby--AC--Heat Included!--Hdwd Floors★,1.0,770.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-june-1-shopping/7071133887.html,1050,3316.0,950.0,106.0,9175.0,2279.0,106.0,40.428754,-79.92407800000001,POINT (191538120.2480483 -19920534.13145412),"[('New Dumpling And Sushi House', 3.7578939061632672, 3.5), (""Mineo's Pizza House"", 4.359125771935009, 3.5), ('Tan Lac Vien', 4.3654740364269236, 3.5), (""Aiello's Pizza"", 4.421098329125863, 4.0), ('Frankie Bunz', 4.580798730783973, 3.5)]","('Greefield Avenue @ Yoder Street', 'PTC', 3.355928672526842)"
93,2020-02-07 15:36,(Squirrel Hill / Murray Ave @ Forward Ave),40.428035;-79.924722,★Shopping Nearby--AC--Heat Included!--Pet Friendly--Available NOW★,1.0,660.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shopping-nearby-ac-heat/7057927694.html,1010,3517.0,986.0,116.0,9376.0,2315.0,116.0,40.428034999999994,-79.924722,POINT (191545655.0463935 -19923949.03287034),"[('New Dumpling And Sushi House', 6.037426543563356, 3.5), ('Tan Lac Vien', 6.637144016827412, 3.5), (""Mineo's Pizza House"", 6.687746011339022, 3.5), (""Aiello's Pizza"", 6.691008571625869, 4.0), ('Frankie Bunz', 6.8560057814662265, 3.5)]","('Greenfield Rd @ Overlook Drive', 'PTC', 2.9852375989319664)"
94,2020-02-07 18:16,(Oakland),40.444000;-79.955200,Studio Apt - SkyVue - Unfurnished,,461.0,https://pittsburgh.craigslist.org/sub/d/pittsburgh-studio-apt-skyvue-unfurnished/7062644256.html,1476,1284.0,398.0,234.0,4856.0,1224.0,74.0,40.444,-79.9552,POINT (191928632.4943622 -19978404.2797652),"[('Bridges Restaurant', 2.6198702729160006, 2.5), ('Sichuan Gourmet', 3.4044944565623365, 4.0), ('Las Palmas', 3.4481146996849263, 4.5), ('Bangal Kabab House and Restaurant', 3.495085770943084, 4.0), ('Spirits & Tales', 3.5277413954983143, 3.5)]","('Fifth Avenue at Emerson Street', 'BS', 5.838152495113756)"
95,2020-02-07 18:12,(South Hills/Baldwin Twp),40.380094;-80.008364,"2 large rooms, private bath with house share in  large beautiful home",,2800.0,https://pittsburgh.craigslist.org/roo/d/2-large-rooms-private-bath-with-house/7065479048.html,650,14860.0,4045.0,1610.0,9511.0,2664.0,1610.0,40.380094,-80.008364,POINT (192554310.5033892 -20272167.08160286),"[('The Coal Mine', 5.975246901257149, 3.5), (""Calabria's"", 9.345574960656517, 3.5), ('Boulevard Lounge', 23.45538883036825, 4.0), (""Bob's Diner"", 23.766867497875, 3.5), (""Armstrong's"", 26.901116926435183, 3.5)]","('Greenfield Ave @ Lydia St', 'PTC', 30.8871540482593)"
96,2020-02-07 18:12,(Regent Square - East Busway - Frick Park),40.438485;-79.890722,"Famous Schiebler Townhouse, Craftsman Details, Dog Friendly, Aug 1",2.0,1108.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-famous-schiebler-townhouse/7068136877.html,1094,5451.0,1442.0,318.0,13152.0,2181.0,627.0,40.438485,-79.890722,POINT (191134984.4734178 -19803027.25588507),"[('The Dream BBQ', 9.915154087911656, 4.5), ('Square Cafe', 10.633090057141839, 4.0), (""Applebee's Grill + Bar"", 10.718197401676798, 3.0), ('Rudy Martino Original House of Submarines', 11.696073353201243, 4.5), ('El Burro', 11.88234982179042, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 88.80725504419419)"
